Mario Balotelli;https://www.soraredata.com/player/53007728717565483232979232793552898267929326942986835979339227674188597544953
Memphis Depay;https://www.soraredata.com/player/70757567928960062312683777213621817792008478501685822923693573266681988975884
Raphinha;https://www.soraredata.com/player/83907063850231869276235276247810032625672339290217882447254454773680020413717
Nicola Sansone;https://www.soraredata.com/player/54959084221441520292767125201015078272870180104821268994917850650822392251849
Mergim Berisha;https://www.soraredata.com/player/97210994183946424198505538974333320081548961608009061288742623079369221734173
Giorgos Giakoumakis;https://www.soraredata.com/player/30645527294135657921256073245107031296628707098434853890161136168719215911277
Jonas Omlin;https://www.soraredata.com/player/79961337402401510861221508371981143728682220973135134182537378261212219864865
Brad Guzan;https://www.soraredata.com/player/106769631927002488695331897651400154852783107047671866256113917355307433000336
Tarik;https://www.soraredata.com/player/114968141931649983105611541020456984482639647300892081181459431124698065229553
Maximiliano Romero;https://www.soraredata.com/player/77687321792449974139157690398874670742540682868736578921938652868594276169872
Dawid Kownacki;https://www.soraredata.com/player/84569585770179278525032181791882100777983134208898514648501633747547567975425
Marcus Thuram;https://www.soraredata.com/player/55426679810020807458349294390585616614937713614731120735353478000898661340055
Niclas Füllkrug;https://www.soraredata.com/player/75788111329542801341342845717643852196757113601227199909319874602873850633322
Marco Asensio;https://www.soraredata.com/player/27121984191714998738632076398700263495205009416039196968675405922180329063469
Alexander Schlager;https://www.soraredata.com/player/12074355190813718087148651830161950996792002442502066692426850932946430490394
Enzo Crivelli;https://www.soraredata.com/player/110040485526657631651867924095715334178866825539956178631277965781899990438909
Enner Valencia;https://www.soraredata.com/player/49133509299683162412038557426392577802557456878568190351813983384610489422183
Kelechi Iheanacho;https://www.soraredata.com/player/24943397761560420215930494993113104487277775705953035120244275624678062310206
Paulo Dybala;https://www.soraredata.com/player/47335498621870865650871848582518432577128712738260003406847721391890737878640
Muhammet Demir;https://www.soraredata.com/player/57968009896633645450898401542187730929380110897584867398160346562273416897078
Stephan El Shaarawy;https://www.soraredata.com/player/37955463976612081487299926726244267435045401486836835267691539696007962359887
Isaac Success;https://www.soraredata.com/player/29883496464715143485739998764356268385112439158559276862109930528777334998473
Cleilton Itaitinga;https://www.soraredata.com/player/44485480330565154772677478961168585087906066402252943076488482895957275543626
Yuya Yamagishi;https://www.soraredata.com/player/101520302232165565123858674843231840458666948489482853372333170265970706350335
Eric Maxim Choupo-Moting;https://www.soraredata.com/player/86959814221430860155364056586156430199428723964760688721251955812629757632746
Luis Sinisterra;https://www.soraredata.com/player/63130620436165450208042671250126210367905947919839431616190457036235432483190
Daiki Tomii;https://www.soraredata.com/player/38246300017979677074956805622417071658059095501946909934197202511212255705869
Klauss;https://www.soraredata.com/player/114522136239323780721423210108931309975155053521848424757466935264365917853015
M'Bala Nzola;https://www.soraredata.com/player/67176291531639338815057348671148490348713522708723011222029553668604220943722
Ademola Lookman;https://www.soraredata.com/player/3287330769147925236833816398338621751420724599060628765501285632854024448294
Ragnar Ache;https://www.soraredata.com/player/110738975221117434870768677008672633885277930695885911992711710899968386740400
Marco Sportiello;https://www.soraredata.com/player/48730457517270299422067953035439294522648822549600298995435304845741148077978
Cyriel Dessers;https://www.soraredata.com/player/72979122646861520615224435232642430302224771389491786313135745543270687255766
Matteo Politano;https://www.soraredata.com/player/97415043243152980699758121008075908553308763252655746134499710881085912140626
Rouwen Hennings;https://www.soraredata.com/player/33499620550479559573109180998087444776392968254900995481509503639711759359730
Tajon Buchanan;https://www.soraredata.com/player/106609926471589334489052697411363381681965535077066746173661012007358914959801
Carlos Acevedo;https://www.soraredata.com/player/56725966145964697455400932623721437286784029807300942494064012139333020794372
Felix Platte;https://www.soraredata.com/player/54067089909942554481390745973769036390161313596546717689349456972917468821719
Bryan Gil;https://www.soraredata.com/player/114524553111469001522218135282488345974472611092872696313876699476479599171681
Ralf Fährmann;https://www.soraredata.com/player/54011966438785956832505147790163923888367484872784779800622748251023461237084
Frank Tsadjout;https://www.soraredata.com/player/58846160079486511519775166434630249656455121259396817224563663579737279973493
Kevin Fickentscher;https://www.soraredata.com/player/30898336765047763537386040425973613103115141486254105904059755100234193868324
Luis Urruti;https://www.soraredata.com/player/29416959630560995669476071841783798492330308769471359068377063346701331941165
Marwin Hitz;https://www.soraredata.com/player/73895370036893457745328190972494028820487089311295274120170772534757733626811
João Ricardo;https://www.soraredata.com/player/5684542804947123430821683903211003725831618747325948706668677170352624991939
Morales;https://www.soraredata.com/player/82831497472115023213624173440944765651126679070146264639559957525429258952641
Junior Adamu;https://www.soraredata.com/player/110925223584366895348468529095766714639412319068709682241934251752673793305946
Lyle Foster;https://www.soraredata.com/player/9791406287714162821117025732263545343220647200619459759490541285026078464441
Andy Delort;https://www.soraredata.com/player/37771667353010084073263593023764198666481835126438308569914778648154558465207
Ernesto Torregrossa;https://www.soraredata.com/player/48728259450128276749098152729706148842106817772413142397802688220648880741122
Alfreð Finnbogason;https://www.soraredata.com/player/6991121692428232203388926273652910068752259902602597864712035181958802477747
Leon Bailey;https://www.soraredata.com/player/33088127450829175722981174621294445132939916707929485269459755858749121921751
Ali Vural;https://www.soraredata.com/player/27542955989905743797379764765965245119429489552058193196505849989809279467769
